OID_	Value	Count	total area	loss
	1	519	4969	134
	2	554		2.696719662
	3	385		
	4	275		
	5	190		
	6	180		
	7	152		
	8	139		
	9	142		
	10	116		
	11	111		
	12	93		
	13	96		
	14	89		
	15	63		
	16	75		
	17	62		
	18	54		
	19	44		
	20	42		
	21	37		
	22	45		
	23	36		
	24	28		
	25	25		
	26	36		
	27	17		
	28	20		
	29	21		
	30	17		
	31	16		
	32	14		
	33	8		
	34	15		
	35	13		
	36	9		
	37	10		
	38	11		
	39	10		
	40	14		
	41	7		
	42	2		
	43	5		
	44	8		
	45	8		
	46	9		
	47	9		
	48	8		
	49	7		
	50	3		
	51	8		
	52	5		
	53	3		
	54	3		
	55	9		
	56	10		
	57	6		
	58	7		
	59	2		
	60	3		
	61	1		
	62	1		
	63	3		
	64	2		
	65	6		
	66	5		
	67	3		
	68	3		
	69	2		
	70	4		
	72	2		
	73	4		
	74	2		
	75	1		
	76	1		
	77	2		
	78	1		
	79	3		
	80	1		
	83	2		
	85	1		
	86	1		
	87	2		
	89	1		
	90	1		
	91	4		
	92	2		
	94	1		
	95	1		
	97	1		
	98	2		
	100	1		
	101	1		
	102	1		
	103	2		
	104	1		
	106	4		
	108	1		
	110	1		
	111	1		
	112	2		
	113	2		
	114	2		
	115	2		
	116	2		
	118	1		
	119	2		
	121	3		
	123	5		
	125	1		
	126	2		
	128	5		
	129	3		
	130	3		
	131	1		
	132	1		
	134	2		
	135	4		
	137	2		
	139	1		
	140	1		
	141	3		
	145	2		
	146	2		
	147	1		
	149	2		
	150	2		
	151	2		
	152	1		
	155	2		
	157	2		
	158	1		
	159	1		
	160	3		
	161	1		
	162	1		
	163	3		
	165	1		
	166	2		
	167	1		
	168	3		
	169	2		
	170	2		
	171	1		
	173	1		
	174	1		
	175	1		
	177	1		
	179	3		
	180	1		
	181	1		
	182	1		
	185	1		
	186	1		
	187	3		
	188	3		
	189	1		
	191	1		
	193	3		
	194	3		
	196	1		
	198	1		
	201	1		
	202	3		
	204	1		
	205	1		
	207	1		
	208	2		
	209	2		
	211	1		
	213	2		
	214	1		
	215	1		
	217	1		
	218	1		
	219	2		
	220	1		
	222	1		
	224	2		
	225	1		
	226	2		
	227	1		
	228	1		
	229	1		
	231	1		
	232	1		
	233	1		
	234	1		
	235	1		
	237	1		
	238	1		
	239	1		
	241	1		
	242	1		
	243	1		
	245	1		
	246	3		
	247	3		
	248	3		
	249	4		
	250	2		
	251	3		
	252	2		
	253	2		
	256	2		
	257	1		
	258	1		
	259	1		
	261	1		
	262	1		
	263	2		
	266	1		
	267	3		
	274	1		
	275	1		
	277	1		
	281	1		
	283	1		
	284	1		
	285	1		
	286	1		
	289	1		
	290	1		
	291	1		
